ID,Oil_Type,Surfactant_Type,Required_HLB,Oil_MW,Surf_HLB,Surf_MW,Smix_Ratio,System_HLB,PDI,Stability_Target,Drug_Name,Drug_Loading_mg_mL,EE_Percent
NE_0001,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.313,0,Curcumin,16.76,81.74
NE_0002,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,2,12.8,0.145,1,Ibuprofen,45.02,95.2
NE_0003,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.143,0,Curcumin,10.58,84.14
NE_0004,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.151,0,Curcumin,10.79,83.36
NE_0005,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.176,0,Ibuprofen,32.4,73.03
NE_0006,Oleic Acid,Labrasol,17.0,282.5,12.0,450,2,9.67,0.148,0,Curcumin,16.56,85.65
NE_0007,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.289,0,Curcumin,13.63,85.66
NE_0008,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,2,11.67,0.238,0,Curcumin,9.12,78.82
NE_0009,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.197,0,Ibuprofen,41.76,88.27
NE_0010,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.369,0,Paclitaxel,2.06,83.05
NE_0011,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.163,0,Curcumin,14.73,83.59
NE_0012,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.287,1,Celecoxib,162.47,94.6
NE_0013,Capryol 90,Tween 20,11.5,172.2,16.7,1227,2,12.8,0.263,1,Celecoxib,138.38,96.18
NE_0014,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,3,13.77,0.145,1,Ibuprofen,45.48,97.79
NE_0015,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.332,0,Paclitaxel,4.93,82.7
NE_0016,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,2,11.67,0.39,0,Ibuprofen,30.87,79.97
NE_0017,Capryol 90,Tween 20,11.5,172.2,16.7,1227,2,12.8,0.233,1,Celecoxib,135.9,93.61
NE_0018,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.21,0,Ibuprofen,36.5,85.33
NE_0019,Miglyol 812,Labrasol,15.0,520.0,12.0,450,2,9.67,0.139,0,Ibuprofen,47.17,82.39
NE_0020,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.138,1,Celecoxib,182.9,98.17
NE_0021,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.382,0,Curcumin,17.5,81.93
NE_0022,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,2,10.67,0.337,0,Celecoxib,175.43,84.75
NE_0023,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.205,0,Ibuprofen,51.74,77.86
NE_0024,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.404,0,Ibuprofen,36.69,80.05
NE_0025,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,1,9.25,0.343,0,Curcumin,15.11,86.65
NE_0026,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.404,0,Curcumin,9.12,87.16
NE_0027,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.123,0,Curcumin,8.79,83.83
NE_0028,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.278,0,Curcumin,9.29,75.62
NE_0029,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.106,1,Celecoxib,191.36,94.06
NE_0030,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,2,10.67,0.306,0,Celecoxib,135.2,72.92
NE_0031,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,1,9.25,0.417,0,Celecoxib,166.02,86.8
NE_0032,Castor Oil,Tween 80,14.0,933.4,15.0,1310,1,10.0,0.343,0,Paclitaxel,4.72,77.62
NE_0033,Castor Oil,Tween 20,14.0,933.4,16.7,1227,2,12.8,0.28,1,Paclitaxel,3.34,92.14
NE_0034,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.185,1,Celecoxib,167.76,97.01
NE_0035,Capryol 90,Tween 20,11.5,172.2,16.7,1227,1,10.85,0.422,0,Celecoxib,125.51,80.5
